Company/Brand,Stage,Amount($),HeadQuarter,What_it_does,Sector,Funding_Year,Founded,Founders,Investor,Startup_Age
TheCollegeFever,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Media & Entertainment,2018,2016.0,unknown,unknown,2.0
Happy Cow Dairy,Seed,1000000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Agriculture,2018,2016.0,unknown,unknown,2.0
MyLoanCare,Series A,1000000.0,Gurgaon,Leading Online Loans Marketplace in India,Finance,2018,2016.0,unknown,unknown,2.0
PayMe India,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Finance,2018,2016.0,unknown,unknown,2.0
Eunimart,Seed,1000000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce,2018,2016.0,unknown,unknown,2.0
Hasura,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Technology,2018,2016.0,unknown,unknown,2.0
Tripshelf,Seed,1000000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,Lifestyle,2018,2016.0,unknown,unknown,2.0
Hyperdata.IO,Angel,1000000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,Services,2018,2016.0,unknown,unknown,2.0
Freightwalla,Seed,1000000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Technology,2018,2016.0,unknown,unknown,2.0
Microchip Payments,Seed,1000000.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,Services,2018,2016.0,unknown,unknown,2.0
BizCrum Infotech Pvt. Ltd.,Seed,1000000.0,Delhi,Building Transactionary B2B Marketplaces,E-commerce,2018,2016.0,unknown,unknown,2.0
Emojifi,Seed,1000000.0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Technology,2018,2016.0,unknown,unknown,2.0
Flock,Seed,1000000.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Technology,2018,2016.0,unknown,unknown,2.0
Freshboxx,Seed,1000000.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Transportation & Logistics,2018,2016.0,unknown,unknown,2.0
Wide Mobility Mechatronics,Seed,1000000.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,Technology,2018,2016.0,unknown,unknown,2.0
Pitstop,Seed,1000000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Engineering,2018,2016.0,unknown,unknown,2.0
