Company/Brand,Stage,Amount($),Location,What_it_does,Sector
TheCollegeFever,Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",Media & Entertainment
Happy Cow Dairy,Seed,1000000.0,Mumbai,A startup which aggregates milk from dairy farmers in rural Maharashtra.,Agriculture
MyLoanCare,Series A,1000000.0,Gurgaon,Leading Online Loans Marketplace in India,Finance
PayMe India,Angel,2000000.0,Noida,PayMe India is an innovative FinTech organization which offers short term financial suport to corporate employees.,Finance
Eunimart,Seed,1000000.0,Hyderabad,Eunimart is a one stop solution for merchants to create a difference by selling globally.,E-commerce
Hasura,Seed,1600000.0,Bengaluru,"Hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Technology
Tripshelf,Seed,1000000.0,Kalkaji,Tripshelf is an online market place for holiday packages.,Lifestyle
Hyperdata.IO,Angel,1000000.0,Hyderabad,Hyperdata combines advanced machine learning with human intelligence.,Services
Freightwalla,Seed,1000000.0,Mumbai,Freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Technology
Microchip Payments,Seed,1000000.0,Bangalore,Microchip payments is a mobile-based payment application and point-of-sale device,Services
BizCrum Infotech Pvt. Ltd.,Seed,1000000.0,Delhi,Building Transactionary B2B Marketplaces,E-commerce
Emojifi,Seed,1000000.0,Bengaluru,"Emojifi is an app that provides live emoji, stickers & GIFs suggestions based on the typed words across chat platforms.",Technology
Flock,Seed,1000000.0,India,Flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Technology
Freshboxx,Seed,1000000.0,Hubli,"Freshboxx is incubated at Sandbox Startups, a unit of the Deshpande Foundation.",Transportation & Logistics
Wide Mobility Mechatronics,Seed,1000000.0,Bangalore,Wide Mobility Mechatronics is a Private Company limited by Shares,Technology
Pitstop,Seed,1000000.0,Bengaluru,Pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Engineering
Mihuru,Seed,150000.0,Mumbai,Mihuru is an online platform which gives micro loans for air travel .,Technology
Fyle,Seed,1100000.0,Bengaluru,Fyle is an intelligent expense management platform for enterprises.,Technology
AppWharf,Seed,1000000.0,New Delhi,Appwharf is an intelligent assistant that helps find you the best-fit SaaS for your business.,Technology
Antariksh Waste Ventures Pvt ltd,Seed,1000000.0,Chennai,Waste Management for Smart Cities,Technology
Cogoport,Series A,6000000.0,Mumbai,Cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Transportation & Logistics
PaisaDukan,Seed,650000.0,Mumbai,A P2P lending marketplace platform,Finance
Sleepy Owl Coffee,Seed,1000000.0,New Delhi,"Makers of a signature coffee that's exceptional in taste. It's super easy to brew, requires no equipment & ships to your door.",Food & Beverage
BlueJack,Seed,1000000.0,Delhi,Delhi-based online used vehicles marketplace.,Transportation & Logistics
PregBuddy,Seed,1000000.0,Bengaluru,PregBuddy is a smart connected care platform for expecting mothers.,Healthcare
