,Company/Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount($),Stage
0,Bombay Shaving,2015.0,Bangalore,E-commerce,Provides a range of male grooming products,Shantanu Deshpande,Sixth Sense Ventures,6300000.0,Unknown Stage
1,Ruangguru,2014.0,Mumbai,Education,"A learning platform that provides topic-based journey, animated videos, quizzes, infographic and mock tests to students","Adamas Belva Syah Devara, Iman Usman.",General Atlantic,150000000.0,Series C
2,Eduisfun,2015.0,Mumbai,Education,It aims to make learning fun via games.,Jatin Solanki,"Deepak Parekh, Amitabh Bachchan, Piyush Pandey",28000000.0,Seed
3,HomeLane,2014.0,Chennai,Lifestyle,Provides interior designing solutions,"Srikanth Iyer, Rama Harinath","Evolvence India Fund (EIF), Pidilite Group, FJ Labs",30000000.0,Later Stage
4,Nu Genes,2004.0,Telangana,Agriculture,"It is a seed company engaged in production, processing and marketing of seeds",Narayana Reddy Punyala,Innovation in Food and Agriculture (IFA),6000000.0,Unknown Stage
5,FlytBase,2015.0,Pune,Technology,A drone automation platform,Nitin Gupta,Undisclosed,6000000.0,Unknown Stage
6,Finly,2015.0,Bangalore,Technology,"It builds software products that makes work simpler, pleasant, and productive","Vivek AG, Veekshith C Rai","Social Capital, AngelList India, Gemba Capital, Omphalos Ventures,  91springboard via Atal Innovation Mission, Niti Aayog.",6000000.0,Unknown Stage
7,Kratikal,2013.0,Noida,Technology,It is a product-based cybersecurity solutions provider,"Pavan Kushwaha, Paratosh Bansal, Dip Jung Thapa","Gilda VC, Art Venture, Rajeev Chitrabhanu.",1000000.0,Pre-series A
8,Quantiphi,2015.0,Bangalore,Technology,It is an AI and big data services company providing business solutions.,Renuka Ramnath,Multiples Alternate Asset Management,20000000.0,Series A
9,Lenskart,2010.0,Delhi,E-commerce,It is a eyewear company,"Peyush Bansal, Amit Chaudhary, Sumeet Kapahi",SoftBank,275000000.0,Later Stage
10,Cub McPaws,2010.0,Mumbai,E-commerce,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha  kids,"Abhay Bhat, Kinnar Shah",Venture Catalysts,6000000.0,Unknown Stage
11,Appnomic,2015.0,Bangalore,Technology,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",D Padmanabhan,Avataar Ventures,22000000.0,Unknown Stage
12,Kaleidofin,2018.0,Chennai,Finance,Platform that provides complete financial solutions for excluded individuals and households,"Puneet Gupta, Sucharita Mukherjee",Oikocredit,5000000.0,Series A
13,JobSquare,2019.0,Ahmedabad,Human Resources,Technology-based platform that is connecting suitable applicants to the right recruiters,Ishit Jethwa,Titan Capital,140500.0,Unknown Stage
14,Open Secret,2015.0,Bangalore,Food & Beverage,It produces and sells top quality snacks,"Ahana Gautam, Udit Kejriwal",Matrix Partners,6000000.0,Unknown Stage
15,LivFin,2017.0,Delhi,Finance,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",Rakesh Malhotra,German development finance institution DEG,5000000.0,Unknown Stage
16,Byju's,2011.0,Bangalore,Education,Provides online learning classes,Byju Raveendran,"South Africas Naspers Ventures, the CPP Investment Board",540000000.0,Unknown Stage
17,Zest Money,2015.0,Bangalore,Finance,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,"Chapman, Priya Sharma, Ashish Anantharaman",Goldman Sachs.,15000000.0,Series B
18,Witblox,2014.0,Bangalore,Education,Offers a range of robotics learning tools,Amit Modi,Mumbai Angels Network,182700.0,Unknown Stage
19,Azah Personal Care Pvt. Ltd.,2018.0,Gurugram,Health,Aims to solve some problems in the feminine hygiene sector,"Mohammed, Shashwat Diesh","Kunal Bahl, Rohit Bansal.",6000000.0,Pre-series A
20,SalaryFits,2015.0,Bangalore,Finance,A platform that promotes financial well-being of employees at workplace,Renato Araujo,Brazilian VC Fund Confrapar,5000000.0,Unknown Stage
21,Pristyn Care,2018.0,Bangalore,Health,Delivers advanced medical care & clinical excellence aided by next-level technology,"Harsimarbir Singh, Dr Vaibhav Kapoor, Dr Garima Sawhney","Sequoia India, Hummingbird Ventures, Greenoaks Capital, AngelList.",12000000.0,Series B
22,Springboard,2013.0,Bangalore,Education,Offers online courses and extensive mentor-based learning,"Gautam Tambay, Parul Gupta",Reach Capital,11000000.0,Later Stage
23,DROR Labs Pvt. Ltd,2018.0,Delhi,Technology,It uses technology to create a trust-based network of responsible citizens to ensure safety,"Dhiraj Naubhar, Dheeraj Bansal",Inflection Point Ventures,6000000.0,Unknown Stage
24,Medlife,2014.0,Bangalore,Health,It solves inadequacies in the healthcare delivery system through technology,"Tushar Kumar, Prashant Singh",Wilson Global Opportunities Fund,15500000.0,Unknown Stage
25,Seekify,2019.0,Delhi,Technology,Customer Experience (CX) Automation platform,"Arihant Jain, Ajeet Kushwaha",Sequoia Capita,1500000.0,Seed funding
26,Toffee Insurance,2017.0,Haryana,Finance,Provides variety of insurance plans and policies,"Nishant Jain, Rohan Kumar",IVM Intersurer,5500000.0,Series A
27,Fireflies .ai,2015.0,Bangalore,Technology,Developer of an artificial intelligence-powered assistant for businesses,Sam Udotong,Canaan Partners,5000000.0,Unknown Stage
28,HungerBox,2015.0,Bangalore,Food & Beverage,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias","Sandipan Mitra, Uttam Kumar","Paytm, Asian VC fund NPTK, Sabre Partners, Neoplux.",12000000.0,Series C
29,Bijak,2019.0,Bangalore,Agriculture,B2B platform for agricultural commodities.,"Nukul Upadhye, Mahesh Jakhotia, Jitender Bedwal, Daya Rai, Nikhil Tripathi","Omnivore and Omidyar Network India, Sequoia Capital",2500000.0,Seed
30,Licious,2015.0,Bangalore,Food & Beverage,Online meat shop,"Vivek Gupta, Abhay Hanjura",Vertex Growth Fund,30000000.0,Later Stage
31,truMe,2015.0,Bangalore,Technology,A global platform for Identity and Access Management,"Babu Dayal, Pramod Uniyal, Lalit Mehta",Rajan Kaistha,140000.0,Unknown Stage
32,Pumpkart,2014.0,Chandigarh,E-commerce,B2B model for appliances and electrical products,KS Bhatia,Dinesh Dua,6000000.0,Unknown Stage
33,Asteria Aerospace,2011.0,Bangalore,Technology,"Develops drones that are used by the military, paramilitary, police forces and in various industries.","Neel Mehta, Nihar Vartak",Reliance Industries,230000000.0,Unknown Stage
34,Rivigo,2014.0,Bangalore,Transportation & Logistics,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies","Deepak Garg, Gazal Kalra","SAIF Partners India VI Ltd, Spring Canter Investment Ltd",20000000.0,Later Stage
35,HappyEasyGo,2017.0,Gurugram,Hospitality,Online flight booking,"Vivek Prabhakar, Boris Zha","Korea Investment Partners (KIP), Samsung Venture Investment Corporation (SVIC), UOB Venture, 10 Fund, CVCapital, Zero2IPO Ventures, M&S Partners",49400000.0,Series B
36,Zetwerk,2018.0,Bangalore,Manufacturing,Provides facilities to get products manufactured.,"Amit Acharya, Srinath Ramakkrushnan","Lightspeed and Greenoaks Capital, Sequoia India, Accel and Kae Capital",32000000.0,Series B
37,Observe.AI,2015.0,Bangalore,Technology,Creates a voice AI platform,Swapnil,Scale Venture Partners,26000000.0,Series A
38,Freshokartz,2016.0,Jaipur,E-commerce,Online fruits and vegetables delivery company,Rajendra Lora,ThinkLab,150000.0,Pre-series A
39,Lil Goodness and sCool meal,2015.0,Bangalore,Food & Beverage,It empowers moms to provide the best of foods to their Lil' ones,Unknown,"Sajan Pillai, Muthu Krishnan,",400000.0,Unknown Stage
40,Trell,2016.0,Bangalore,Technology,Blogging platform that enables people to create visual collections of their travel and local experiences,"Pulkit Agrawal, Prashant Sachan, Arun Lodhi, Bimal Kartheek Rebba","Ruizheng Investment, Tej Kapoor, Krinshavataram Venkata Vinjamuri, Harsh Shah",2000000.0,Pre-series A
41,VMate,2015.0,Bangalore,Technology,A short video platform,Unknown,Alibaba,100000000.0,Unknown Stage
42,Bombay Shirt Company,2012.0,Mumbai,E-commerce,Online custom shirt brand,Akshay Narvekar,Lightbox Ventures,8000000.0,Unknown Stage
43,Slintel,2016.0,Bangalore,Technology,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",Deepak Anchala,Stellaris Ventures,1500000.0,Unknown Stage
